org_id,tbl_id,tbl_name,category_path,axis_id,axis_name,axis_order,code_id,code_name,parent_code_id,is_item,unit_id,unit_name,unit_eng_name
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,002002,여자,002,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003,연령별,,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003001,16-19세,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003002,20-29세,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003003,30-39세,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003004,40-49세,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003005,50-59세,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003006,60세 이상,003,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004,월평균 가구소득별,,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004001,100만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004002,100-200만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004003,200-300만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004004,300-400만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004005,400-500만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004006,500-600만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004007,600-700만원 미만,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004008,700만원 이상,004,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005,월평균 개인소득별,,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005001,100만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005002,100-200만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005003,200-300만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005004,300-400만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005005,400-500만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005006,500-600만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005007,600-700만원 미만,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005008,700만원 이상,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005009,소득없음,005,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006,권역별,,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006001,서울,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006002,인천/경기,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006003,대전/세종/충청/강원,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006004,광주/전라/제주,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006005,부산/울산/경남,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006006,대구/경북,006,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007,최종학력별,,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007001,중졸 이하,007,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007002,고등학교,007,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007003,2 3년제 전문대학,007,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007004,4년제 이상 대학,007,N,,,
164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007005,대학원 이상,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T001,사례수,,Y,14STD04547,명,In Person
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T002,전혀 없다,,Y,14STD00020,%,Percent
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T003,별로 없다,,Y,14STD00020,%,Percent
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T004,약간 있다,,Y,14STD00020,%,Percent
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T005,매우 있다,,Y,14STD00020,%,Percent
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T006,잘 모르겠다,,Y,14STD00020,%,Percent
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,ITEM,항목,,T007,평균,,Y,14STD05795,점,Point
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,001,전체,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,002,성별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,002001,남자,002,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,002002,여자,002,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003,연령별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003001,16-19세,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003002,20-29세,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003003,30-39세,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003004,40-49세,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003005,50-59세,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,003006,60세 이상,003,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004,월평균 가구소득별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004001,100만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004002,100-200만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004003,200-300만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004004,300-400만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004005,400-500만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004006,500-600만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004007,600-700만원 미만,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,004008,700만원 이상,004,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005,월평균 개인소득별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005001,100만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005002,100-200만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005003,200-300만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005004,300-400만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005005,400-500만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005006,500-600만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005007,600-700만원 미만,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005008,700만원 이상,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,005009,소득없음,005,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006,권역별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006001,서울,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006002,인천/경기,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006003,대전/세종/충청/강원,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006004,광주/전라/제주,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006005,부산/울산/경남,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,006006,대구/경북,006,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007,최종학력별,,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007001,중졸 이하,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007002,고등학교,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007003,2 3년제 전문대학,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007004,4년제 이상 대학,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007005,대학원 이상,007,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,ITEM,항목,,00,종사자수,,Y,14STD04547,명,In Person
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AD_373,전체,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A0,업종별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA000_373,제조업용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AA_373,전문서비스용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AB_373,개인서비스용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AC_373,로봇부품 및 부분품,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A05,로봇 시스템,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A06,로봇 임베디드,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A07,로봇 서비스,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A1,매출액별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A11,1억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A12,1~5억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A13,5~10억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A14,10~30억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A15,30억원 이상,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A2,종사자수별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A21,1~4인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A22,5~9인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A23,10~49인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A24,50인 이상,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A3,권역별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A31,수도권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A32,영남권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A33,충청권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A34,호남권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T05,종사자수,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T07,남자,16401T05,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T08,여자,16401T05,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T09,직무별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T01,사무직 및 기타,16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T02,영업/마케팅,16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T04,연구개발,16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T03,기술직(생산),16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T06,기타 단순근로,16401T09,N,,,
